attendance_percentage,study_hours_per_week,previous_gpa,midterm_score,assignment_completion,quiz_score,sleep_hours_per_day,extracurricular,internet_access,final_score,final_gpa,grade,passed,risk_level
82.5,18.2,2.97,67.9,82.9,52.0,9.9,1,1,71.5,2.86,B,1,MEDIUM
70.8,13.0,3.9,63.7,57.6,31.9,5.7,0,1,52.0,2.08,D,1,HIGH
74.5,9.5,3.5,66.2,83.2,52.7,8.2,0,1,70.6,2.82,B,1,HIGH
70.8,16.0,3.53,64.8,75.8,54.7,7.7,1,1,68.5,2.74,C,1,HIGH
100.0,7.1,2.39,67.7,100.0,66.0,5.9,1,1,78.0,3.12,B,1,LOW
77.8,14.4,2.52,69.2,100.0,63.8,7.1,0,1,73.1,2.92,B,1,MEDIUM
65.3,14.5,1.68,50.0,93.8,49.3,7.1,0,1,49.7,1.99,F,0,CRITICAL
87.9,17.3,2.7,67.8,77.1,39.3,8.6,1,1,64.5,2.58,C,1,MEDIUM
63.3,25.8,3.58,78.1,100.0,60.5,6.4,1,1,81.4,3.26,B+,1,CRITICAL
80.5,14.0,3.36,78.6,58.7,45.2,6.9,0,1,68.2,2.73,C,1,MEDIUM
54.5,9.5,2.99,47.5,60.9,36.8,4.6,1,1,49.9,2.0,F,0,CRITICAL
62.1,11.9,3.09,66.2,80.7,55.9,9.1,0,1,66.1,2.65,C,1,CRITICAL
80.4,3.2,2.76,64.8,100.0,71.4,6.0,0,1,76.5,3.06,B,1,MEDIUM
86.9,8.5,3.2,76.3,79.0,55.2,7.6,0,1,76.2,3.05,B,1,LOW
80.1,10.0,3.48,77.9,79.3,53.8,7.1,1,1,72.6,2.91,B,1,MEDIUM
76.6,9.4,2.29,71.3,60.4,44.0,7.1,1,1,64.0,2.56,C,1,MEDIUM
74.4,12.8,3.25,67.9,96.2,59.6,8.1,1,1,78.6,3.14,B,1,HIGH
60.3,7.9,3.57,62.5,96.3,52.3,9.0,1,1,70.8,2.83,B,1,CRITICAL
69.4,17.6,2.89,66.4,93.8,58.2,7.5,1,1,77.8,3.11,B,1,HIGH
72.5,12.0,3.45,69.8,72.6,52.7,7.9,0,0,65.8,2.63,C,1,HIGH
90.7,12.0,4.0,90.0,71.4,56.8,7.6,0,1,85.9,3.44,A,1,LOW
82.1,10.4,3.05,62.9,62.6,46.7,8.3,1,1,61.2,2.45,C,1,MEDIUM
56.8,12.8,3.3,57.9,83.3,53.3,6.7,1,1,64.0,2.56,C,1,CRITICAL
81.9,16.1,2.73,78.5,65.8,39.2,8.4,1,1,69.0,2.76,C,1,MEDIUM
73.4,7.7,3.19,69.8,64.3,50.5,8.4,0,1,64.1,2.56,C,1,HIGH
69.9,8.7,3.33,63.2,75.6,45.2,8.4,0,1,64.2,2.57,C,1,HIGH
85.3,10.5,3.2,76.6,74.7,46.3,6.5,1,1,74.0,2.96,B,1,MEDIUM
90.4,5.3,2.59,67.3,73.9,43.1,7.0,0,0,64.1,2.57,C,1,MEDIUM
89.2,7.9,3.2,79.6,89.0,62.1,7.5,1,1,84.4,3.38,B+,1,LOW
67.9,9.6,3.83,69.3,83.2,52.7,5.7,1,1,64.8,2.59,C,1,HIGH
74.3,16.4,3.32,78.3,77.7,44.5,9.0,0,0,76.2,3.05,B,1,HIGH
82.0,13.3,3.58,89.4,84.7,63.6,7.2,0,1,84.3,3.37,B+,1,MEDIUM
89.7,13.0,2.98,77.6,67.1,41.5,7.5,0,1,68.8,2.75,C,1,MEDIUM
72.2,16.3,3.47,73.6,83.6,56.3,6.6,0,1,70.4,2.82,B,1,HIGH
75.8,11.3,3.24,72.7,84.3,56.9,5.7,1,0,70.2,2.81,B,1,MEDIUM
64.7,14.0,2.62,59.5,59.5,46.9,6.5,0,1,57.5,2.3,D,1,CRITICAL
63.6,11.5,3.26,75.8,96.9,72.2,7.4,0,1,76.1,3.04,B,1,CRITICAL
87.8,13.3,2.6,71.9,68.8,40.9,7.9,1,1,70.6,2.82,B,1,MEDIUM
94.3,9.1,2.78,70.6,83.4,54.2,7.4,1,1,79.9,3.2,B,1,LOW
77.1,1.0,3.19,56.9,99.5,55.2,7.6,0,1,69.9,2.8,C,1,MEDIUM
90.0,11.3,3.25,81.1,95.9,65.3,6.8,1,0,78.2,3.13,B,1,LOW
82.3,19.1,2.51,76.7,82.5,57.3,7.7,1,1,70.5,2.82,B,1,MEDIUM
70.3,16.6,3.63,71.5,76.6,49.9,8.8,0,1,67.9,2.72,C,1,HIGH
82.3,16.8,3.39,80.5,96.2,60.0,8.0,1,1,74.9,3.0,B,1,MEDIUM
96.5,18.2,2.75,72.4,92.1,51.9,8.1,1,1,70.5,2.82,B,1,MEDIUM
77.6,12.4,2.33,64.4,72.7,54.3,7.5,0,1,72.5,2.9,B,1,MEDIUM
96.8,13.0,3.03,80.4,70.1,54.9,5.5,1,1,76.3,3.05,B,1,LOW
46.6,8.9,2.88,59.6,50.9,43.8,6.1,1,1,50.1,2.0,D,1,CRITICAL
87.9,10.4,3.16,69.3,84.3,52.6,7.7,1,0,74.9,3.0,B,1,MEDIUM
79.0,15.1,2.92,64.6,80.8,47.7,7.2,0,1,62.4,2.5,C,1,MEDIUM
74.4,18.0,2.1,60.2,99.0,51.2,7.7,0,1,62.0,2.48,C,1,HIGH
79.1,11.3,2.91,61.2,87.4,55.5,9.0,1,1,65.6,2.62,C,1,MEDIUM
54.1,9.7,2.95,62.4,100.0,52.5,8.0,1,1,70.8,2.83,B,1,CRITICAL
75.4,12.0,3.42,78.6,71.5,63.3,8.6,0,1,72.9,2.91,B,1,MEDIUM
82.3,15.0,2.75,72.6,99.1,53.6,7.3,1,0,64.8,2.59,C,1,MEDIUM
95.7,4.8,3.94,84.5,74.1,56.6,6.3,0,1,83.9,3.35,B+,1,LOW
71.8,1.0,2.14,50.9,93.7,62.1,7.1,0,1,63.5,2.54,C,1,HIGH
68.3,9.2,3.76,67.7,60.1,48.0,6.3,1,1,57.9,2.32,D,1,HIGH
72.0,5.9,2.99,59.3,85.5,53.1,8.9,0,1,64.7,2.59,C,1,HIGH
89.0,9.5,3.53,74.3,52.2,37.4,8.1,0,1,67.9,2.72,C,1,MEDIUM
81.9,11.3,3.14,63.3,78.0,41.9,7.8,0,1,66.8,2.67,C,1,MEDIUM
71.6,9.7,3.67,70.7,88.6,61.3,8.6,1,1,79.6,3.18,B,1,HIGH
84.2,19.3,2.91,76.3,74.2,61.6,5.0,0,1,70.5,2.82,B,1,MEDIUM
79.2,13.6,2.55,70.7,66.2,45.1,7.8,1,1,64.8,2.59,C,1,MEDIUM
89.6,13.5,3.81,82.1,94.7,55.7,5.8,1,1,77.7,3.11,B,1,LOW
69.6,15.1,3.04,66.9,80.4,37.5,7.2,1,1,57.6,2.31,D,1,HIGH
74.1,6.3,3.21,59.7,74.7,41.9,6.9,0,1,65.5,2.62,C,1,HIGH
73.3,17.2,3.72,76.8,82.6,55.4,7.9,1,1,74.9,3.0,B,1,HIGH
60.4,11.6,2.58,60.9,100.0,67.9,7.5,0,1,69.8,2.79,C,1,CRITICAL
81.6,15.4,3.4,70.4,99.3,64.9,8.7,1,1,78.6,3.14,B,1,MEDIUM
81.1,6.6,2.81,64.7,99.4,61.0,6.5,1,1,70.4,2.82,B,1,MEDIUM
78.1,4.2,3.03,63.9,88.5,52.2,8.0,0,1,65.2,2.61,C,1,MEDIUM
75.2,16.1,3.14,68.2,84.5,50.8,7.4,1,1,68.8,2.75,C,1,MEDIUM
61.0,13.9,2.35,54.4,46.1,43.2,5.4,0,1,56.2,2.25,D,1,CRITICAL
73.0,7.5,2.71,61.7,71.8,48.4,6.2,0,1,68.4,2.73,C,1,HIGH
73.9,7.7,3.78,63.9,74.8,36.5,7.0,0,1,66.5,2.66,C,1,HIGH
68.4,17.6,3.54,75.0,53.9,40.0,8.4,1,1,63.2,2.53,C,1,HIGH
76.1,6.1,3.07,59.1,64.6,38.4,7.7,0,1,60.9,2.44,C,1,MEDIUM
82.8,20.2,3.22,84.5,52.3,43.0,5.9,0,1,68.6,2.74,C,1,MEDIUM
100.0,7.5,2.95,86.3,81.4,61.8,7.0,0,1,77.4,3.09,B,1,LOW
80.1,15.2,3.78,74.1,94.3,59.3,9.4,1,1,76.8,3.07,B,1,MEDIUM
81.1,10.4,3.0,71.4,98.6,60.4,7.3,1,1,70.4,2.81,B,1,MEDIUM
77.1,15.0,3.22,68.8,88.2,63.8,6.8,0,1,72.9,2.91,B,1,MEDIUM
55.0,9.3,3.67,66.8,67.5,42.9,7.7,0,1,66.8,2.67,C,1,CRITICAL
77.7,11.2,2.71,59.3,53.0,50.2,8.0,1,1,63.5,2.54,C,1,MEDIUM
78.7,12.2,3.88,78.6,55.6,41.8,6.7,1,1,64.6,2.58,C,1,MEDIUM
100.0,7.0,2.33,64.9,63.0,45.2,7.8,1,1,65.8,2.63,C,1,MEDIUM
75.7,15.7,3.91,76.9,68.7,48.9,6.8,1,1,67.6,2.7,C,1,MEDIUM
81.6,9.4,2.91,62.4,79.6,51.3,8.0,0,1,66.9,2.68,C,1,MEDIUM
77.6,10.9,2.98,71.5,66.8,50.8,7.4,1,1,70.8,2.83,B,1,MEDIUM
64.0,7.0,2.15,47.5,87.1,51.7,7.7,0,1,60.7,2.43,C,1,CRITICAL
91.7,1.0,2.87,67.8,78.5,47.2,6.4,1,1,78.1,3.13,B,1,LOW
87.0,11.0,2.58,66.9,82.2,46.2,6.3,0,0,72.0,2.88,B,1,MEDIUM
87.5,24.1,2.8,80.4,99.1,78.8,8.2,1,1,83.9,3.36,B+,1,LOW
67.1,15.9,3.03,67.9,64.3,43.2,7.1,0,0,64.2,2.57,C,1,HIGH
94.8,11.9,3.58,77.0,88.3,62.6,7.5,0,0,79.2,3.17,B,1,LOW
61.2,10.7,3.2,62.8,81.8,41.9,6.9,1,1,57.9,2.31,D,1,CRITICAL
85.0,12.1,3.25,81.6,77.0,53.6,8.2,1,1,79.2,3.17,B,1,LOW
100.0,14.7,2.55,73.3,95.3,59.3,6.5,1,1,81.0,3.24,B+,1,LOW
66.1,6.1,2.66,61.8,95.2,59.4,7.1,1,0,66.7,2.67,C,1,HIGH
71.2,17.6,4.0,85.6,67.8,36.5,8.1,1,1,70.2,2.81,B,1,HIGH
79.2,15.6,2.73,65.9,79.3,52.5,8.5,0,1,71.8,2.87,B,1,MEDIUM
72.0,15.6,3.93,69.0,86.2,48.3,6.6,1,1,72.9,2.92,B,1,HIGH
59.4,14.2,2.98,63.4,77.9,52.1,9.4,1,0,57.9,2.32,D,1,CRITICAL
78.8,12.1,3.1,67.2,90.8,50.3,7.5,1,1,70.7,2.83,B,1,MEDIUM
65.3,15.4,3.64,80.1,86.2,53.4,6.1,1,1,71.9,2.87,B,1,HIGH
83.7,15.0,3.74,79.7,100.0,62.3,7.6,1,1,84.4,3.38,B+,1,MEDIUM
67.0,10.2,3.04,58.7,59.0,34.9,6.8,1,1,59.8,2.39,D,1,HIGH
96.6,9.1,2.91,68.3,80.2,49.7,7.7,0,1,76.1,3.05,B,1,LOW
68.6,12.5,3.07,70.9,68.4,41.5,7.2,0,1,59.4,2.38,D,1,HIGH
74.1,19.7,3.27,72.5,91.1,47.2,7.3,0,1,67.4,2.7,C,1,HIGH
87.8,5.8,3.55,72.7,57.7,51.0,6.2,1,1,73.5,2.94,B,1,MEDIUM
63.2,4.7,3.1,61.8,87.2,45.6,8.3,0,1,61.4,2.45,C,1,CRITICAL
80.7,12.8,3.41,71.4,72.5,49.4,5.9,0,1,64.0,2.56,C,1,MEDIUM
93.7,12.3,3.92,83.1,71.0,57.8,6.0,0,1,80.4,3.22,B+,1,LOW
58.7,12.9,3.29,63.0,60.3,39.3,7.6,1,1,55.8,2.23,D,1,CRITICAL
80.2,13.2,3.26,76.1,75.0,47.9,9.0,1,1,76.5,3.06,B,1,MEDIUM
81.1,10.9,2.34,66.9,98.3,60.7,6.8,0,1,73.1,2.92,B,1,MEDIUM
87.4,19.4,1.78,68.1,81.6,59.8,8.0,1,0,70.1,2.8,B,1,MEDIUM
63.2,4.0,3.29,58.3,91.4,47.0,8.4,1,1,62.5,2.5,C,1,CRITICAL
62.2,7.9,3.05,56.8,100.0,56.1,8.1,0,1,71.7,2.87,B,1,CRITICAL
84.3,11.5,2.84,62.5,86.0,42.7,6.9,1,1,67.5,2.7,C,1,MEDIUM
81.6,3.8,3.22,66.8,73.6,47.1,6.0,1,1,65.8,2.63,C,1,MEDIUM
81.0,11.1,3.07,79.4,89.0,59.6,4.8,0,1,73.2,2.93,B,1,MEDIUM
82.2,20.3,3.66,78.1,73.8,47.8,6.9,0,1,71.8,2.87,B,1,MEDIUM
69.8,12.1,3.14,62.4,74.4,45.7,8.5,1,1,59.7,2.39,D,1,HIGH
80.8,13.2,2.73,64.3,59.2,34.5,6.0,1,0,63.4,2.54,C,1,MEDIUM
81.5,5.7,3.6,73.6,95.9,60.9,8.0,0,1,70.7,2.83,B,1,MEDIUM
69.4,8.9,2.99,64.6,76.2,56.2,6.2,1,1,65.7,2.63,C,1,HIGH
100.0,10.1,3.36,79.2,84.7,51.1,7.3,1,1,79.8,3.19,B,1,LOW
83.7,10.4,2.86,64.3,66.5,42.1,8.0,1,1,64.9,2.6,C,1,MEDIUM
63.7,18.4,2.78,66.1,88.5,58.2,6.5,0,1,64.8,2.59,C,1,CRITICAL
85.9,14.8,3.14,67.8,70.6,55.8,7.4,1,1,72.2,2.89,B,1,MEDIUM
66.3,6.4,3.11,60.6,79.9,41.2,6.7,0,1,58.4,2.33,D,1,HIGH
87.4,13.2,3.34,81.0,95.2,61.4,8.0,1,1,79.7,3.19,B,1,LOW
91.9,14.5,2.97,70.4,93.9,60.4,7.5,1,1,78.4,3.13,B,1,LOW
68.2,17.7,2.18,54.6,81.7,48.4,7.3,1,1,61.5,2.46,C,1,HIGH
89.6,19.9,2.88,87.2,55.5,33.5,8.9,0,1,65.6,2.62,C,1,MEDIUM
83.0,6.9,3.5,67.8,100.0,63.3,7.9,1,0,80.7,3.23,B+,1,MEDIUM
87.9,7.9,2.95,75.2,100.0,71.7,6.4,1,1,80.7,3.23,B+,1,LOW
100.0,5.7,2.98,72.6,92.8,59.6,7.1,1,0,80.7,3.23,B+,1,LOW
75.1,10.8,3.59,70.4,70.7,43.2,7.1,0,1,71.9,2.87,B,1,MEDIUM
69.0,14.3,2.74,66.6,80.3,49.0,7.3,1,1,68.9,2.75,C,1,HIGH
67.3,16.9,2.33,58.1,73.8,57.6,10.0,0,1,66.1,2.64,C,1,HIGH
68.2,11.6,3.02,64.8,100.0,64.9,7.6,1,1,72.5,2.9,B,1,HIGH
77.1,10.4,2.86,64.0,85.9,57.4,5.0,1,1,71.8,2.87,B,1,MEDIUM
82.1,12.8,2.62,61.5,70.2,48.7,6.6,0,1,64.9,2.59,C,1,MEDIUM
81.3,7.8,3.01,68.6,74.9,46.6,5.1,0,1,63.0,2.52,C,1,MEDIUM
87.9,22.4,3.35,83.0,98.8,63.2,6.8,0,1,82.5,3.3,B+,1,LOW
78.2,4.0,3.1,62.3,100.0,58.2,5.0,1,1,72.5,2.9,B,1,MEDIUM
95.4,12.9,3.25,73.3,100.0,65.3,6.2,0,0,82.6,3.3,B+,1,LOW
74.8,22.1,4.0,91.3,93.4,73.8,5.5,1,0,84.4,3.37,B+,1,HIGH
100.0,12.0,2.93,82.4,78.2,62.7,7.6,1,1,76.8,3.07,B,1,LOW
85.5,11.0,3.24,78.1,33.4,28.3,7.2,0,1,63.0,2.52,C,1,MEDIUM
67.7,10.2,2.85,59.9,86.5,53.9,7.5,1,1,60.5,2.42,C,1,HIGH
65.1,11.1,2.68,51.0,82.0,52.5,7.1,1,1,65.5,2.62,C,1,HIGH
83.8,18.9,2.81,85.0,84.1,62.9,5.7,1,1,76.8,3.07,B,1,MEDIUM
75.3,1.0,2.86,57.3,82.8,46.5,7.8,0,1,64.3,2.57,C,1,MEDIUM
86.6,19.7,3.28,77.2,62.1,65.5,9.3,0,1,76.3,3.05,B,1,LOW
83.7,4.9,4.0,75.6,90.4,51.2,7.7,1,1,77.8,3.11,B,1,MEDIUM
77.1,10.7,2.74,71.0,91.5,51.4,6.7,1,1,65.2,2.61,C,1,MEDIUM
67.8,9.9,2.89,61.4,92.2,56.7,5.6,0,0,70.1,2.81,B,1,HIGH
59.8,14.9,3.07,69.8,96.2,72.1,6.2,0,1,74.1,2.96,B,1,CRITICAL
72.6,4.0,3.3,67.7,91.1,51.7,7.7,0,1,67.4,2.7,C,1,HIGH
88.3,14.3,3.23,71.6,75.8,50.2,8.4,1,1,68.5,2.74,C,1,MEDIUM
80.6,22.1,3.74,80.5,80.9,63.0,7.5,0,1,76.3,3.05,B,1,MEDIUM
63.1,5.2,1.89,52.4,83.4,49.0,8.1,1,1,53.2,2.13,D,1,CRITICAL
80.1,12.9,1.91,48.1,83.6,45.9,8.0,0,1,65.2,2.61,C,1,MEDIUM
82.6,8.7,2.85,66.2,97.0,62.0,7.8,1,1,78.8,3.15,B,1,MEDIUM
67.4,14.1,3.65,63.7,91.7,57.4,6.5,1,1,71.4,2.86,B,1,HIGH
79.8,12.1,2.32,61.8,100.0,64.7,7.4,1,1,70.7,2.83,B,1,MEDIUM
78.7,8.8,1.6,53.7,100.0,63.9,6.3,0,0,66.1,2.64,C,1,MEDIUM
64.3,14.4,3.39,65.8,83.2,54.9,7.2,1,1,69.9,2.8,C,1,CRITICAL
82.3,21.0,3.22,76.9,30.0,36.8,7.6,0,1,67.4,2.7,C,1,MEDIUM
84.7,11.0,2.55,61.9,100.0,59.9,9.0,0,1,69.9,2.8,C,1,MEDIUM
91.0,15.6,2.61,85.7,73.9,58.2,5.8,0,1,72.2,2.89,B,1,MEDIUM
90.6,5.5,2.62,75.5,70.0,51.0,7.7,1,1,76.0,3.04,B,1,LOW
61.5,7.2,3.16,52.9,76.0,46.3,8.8,1,1,52.8,2.11,D,1,CRITICAL
66.7,14.4,2.79,71.7,75.3,58.8,8.0,1,1,64.3,2.57,C,1,HIGH
84.2,19.4,3.35,78.2,91.2,69.0,8.1,1,1,78.7,3.15,B,1,MEDIUM
84.2,13.8,1.67,62.9,58.6,33.3,7.8,0,1,51.5,2.06,D,1,HIGH
84.2,10.4,2.67,67.3,65.8,46.6,8.6,1,1,69.1,2.76,C,1,MEDIUM
100.0,12.0,2.54,71.6,87.1,52.2,6.0,1,1,76.9,3.08,B,1,LOW
84.9,5.7,2.97,71.5,91.3,56.1,5.7,1,1,71.6,2.86,B,1,MEDIUM
91.6,15.0,2.83,76.5,91.6,62.0,7.2,1,1,82.1,3.28,B+,1,LOW
89.4,16.4,3.5,79.0,70.2,55.8,4.8,1,1,79.9,3.2,B,1,LOW
85.8,9.7,2.17,57.2,67.3,43.4,8.6,1,1,60.3,2.41,C,1,MEDIUM
74.2,9.6,3.12,61.6,74.4,36.8,8.5,1,0,59.9,2.4,D,1,HIGH
87.1,13.3,3.38,68.7,85.6,49.1,6.7,0,1,79.5,3.18,B,1,LOW
68.7,9.8,4.0,70.8,100.0,66.6,6.8,1,1,79.2,3.17,B,1,HIGH
75.2,11.7,2.86,60.0,51.3,22.1,7.1,1,1,54.3,2.17,D,1,HIGH
72.2,22.5,3.26,75.2,78.7,61.2,7.3,0,1,77.0,3.08,B,1,HIGH
79.0,10.8,2.2,68.6,62.0,48.5,7.3,0,1,64.4,2.57,C,1,MEDIUM
100.0,10.2,1.9,74.4,57.2,53.1,7.8,1,1,67.2,2.69,C,1,MEDIUM
55.6,8.8,3.52,60.0,96.5,55.4,7.0,1,1,66.5,2.66,C,1,CRITICAL
86.2,15.7,3.1,75.7,90.2,46.4,8.2,1,1,76.5,3.06,B,1,LOW
58.6,11.1,3.69,74.2,88.7,60.3,7.7,0,1,64.6,2.59,C,1,CRITICAL
72.3,8.8,2.41,61.5,95.8,64.4,6.5,1,1,68.4,2.74,C,1,HIGH
91.1,18.6,3.36,81.1,74.8,59.8,8.7,1,1,82.0,3.28,B+,1,LOW
78.8,19.1,4.0,75.6,75.5,48.9,5.7,0,1,70.2,2.81,B,1,MEDIUM
65.1,9.0,3.31,64.9,100.0,60.0,7.1,0,1,76.2,3.05,B,1,HIGH
69.4,2.7,3.24,63.4,78.3,47.2,8.3,1,1,69.5,2.78,C,1,HIGH
86.2,17.0,3.1,74.1,93.0,54.5,6.4,1,1,74.6,2.98,B,1,MEDIUM
69.2,8.6,2.31,58.0,82.1,56.0,7.5,0,1,61.3,2.45,C,1,HIGH
80.6,16.0,3.78,77.4,54.3,37.8,7.8,1,1,65.4,2.61,C,1,MEDIUM
78.5,2.1,2.79,58.5,51.3,32.7,6.3,0,1,65.5,2.62,C,1,MEDIUM
70.2,16.5,3.35,59.1,73.3,40.4,7.1,1,1,67.8,2.71,C,1,HIGH
100.0,5.9,2.32,67.2,97.8,50.4,7.0,0,1,73.7,2.95,B,1,MEDIUM
85.6,15.7,2.51,76.0,93.8,61.2,6.6,0,1,73.4,2.94,B,1,MEDIUM
53.7,12.1,3.82,61.2,95.7,63.6,9.7,1,1,69.3,2.77,C,1,CRITICAL
80.2,7.2,2.93,65.6,67.2,45.4,6.4,0,1,65.3,2.61,C,1,MEDIUM
70.1,10.0,3.83,66.3,100.0,50.9,8.3,1,1,66.8,2.67,C,1,HIGH
88.2,15.4,3.06,78.3,67.5,55.6,6.8,1,0,73.1,2.92,B,1,MEDIUM
68.5,12.5,2.18,57.2,85.2,61.3,6.0,1,1,69.0,2.76,C,1,HIGH
76.6,14.9,3.55,70.1,81.8,49.9,7.3,1,1,63.7,2.55,C,1,MEDIUM
84.1,21.9,2.81,84.4,79.4,54.2,7.9,1,1,77.5,3.1,B,1,MEDIUM
88.4,4.2,3.45,75.4,100.0,65.7,8.2,0,1,85.1,3.41,A,1,LOW
63.6,20.1,3.11,66.6,71.4,58.3,8.9,0,1,63.8,2.55,C,1,CRITICAL
74.0,12.5,2.33,64.4,61.8,40.9,10.0,1,1,65.4,2.61,C,1,HIGH
72.3,7.5,3.18,66.7,82.3,44.9,7.5,0,1,63.6,2.54,C,1,HIGH
70.2,5.3,4.0,71.1,76.0,55.5,6.5,1,1,72.2,2.89,B,1,HIGH
99.2,11.1,3.35,71.8,100.0,66.3,7.7,1,1,80.2,3.21,B+,1,LOW
82.9,16.6,3.07,80.2,92.1,60.9,6.9,0,1,76.3,3.05,B,1,MEDIUM
62.9,11.4,3.64,63.6,75.9,46.1,8.2,1,0,61.5,2.46,C,1,CRITICAL
89.0,19.6,3.21,79.6,66.2,56.3,5.8,0,1,76.1,3.05,B,1,LOW
100.0,4.7,3.2,87.6,53.8,51.0,9.8,1,0,78.1,3.12,B,1,LOW
90.4,11.9,2.55,72.2,66.6,43.7,8.1,1,1,66.8,2.67,C,1,MEDIUM
59.8,5.7,3.22,55.3,83.7,50.4,5.3,1,1,57.0,2.28,D,1,CRITICAL
72.2,13.8,3.62,61.5,100.0,50.3,6.4,0,1,70.9,2.84,B,1,HIGH
93.2,16.4,2.68,83.5,98.8,68.7,8.1,1,1,83.9,3.35,B+,1,LOW
69.5,9.9,3.81,63.0,85.4,51.5,8.5,0,1,67.3,2.69,C,1,HIGH
83.3,1.0,3.05,57.7,77.2,45.6,5.8,1,1,71.1,2.84,B,1,MEDIUM
87.3,13.0,2.66,69.3,86.0,55.0,8.0,1,1,66.1,2.64,C,1,MEDIUM
66.9,14.2,3.6,77.3,74.2,53.1,5.1,1,1,62.2,2.49,C,1,HIGH
77.3,14.0,2.96,73.5,100.0,67.4,7.1,1,1,74.2,2.97,B,1,MEDIUM
40.0,18.2,3.48,59.6,79.2,53.1,8.4,1,1,62.2,2.49,C,1,CRITICAL
65.7,6.6,2.95,60.1,80.7,49.4,6.6,0,1,59.3,2.37,D,1,HIGH
75.0,15.4,3.07,67.6,48.8,44.4,5.5,0,1,57.9,2.32,D,1,HIGH
63.0,18.0,3.35,70.2,79.1,55.1,7.4,1,1,71.0,2.84,B,1,CRITICAL
97.6,3.1,3.25,72.7,94.5,57.1,6.5,0,0,79.5,3.18,B,1,LOW
60.8,13.6,2.1,59.9,66.0,43.6,7.9,1,1,57.5,2.3,D,1,CRITICAL
72.7,9.5,2.54,65.5,70.7,47.0,6.2,1,1,65.6,2.63,C,1,HIGH
79.6,11.6,3.56,76.1,93.9,63.4,6.4,1,1,76.1,3.04,B,1,MEDIUM
95.3,13.7,3.03,76.3,59.9,44.6,5.0,1,0,68.4,2.73,C,1,MEDIUM
60.8,9.6,2.84,61.4,97.9,55.2,7.4,1,1,69.0,2.76,C,1,CRITICAL
92.0,8.6,2.42,67.2,74.0,61.6,7.0,1,1,66.4,2.66,C,1,MEDIUM
78.1,12.2,2.56,60.0,76.2,54.1,5.9,1,1,57.5,2.3,D,1,HIGH
66.2,6.6,2.09,49.7,65.1,36.4,7.4,1,1,50.8,2.03,D,1,HIGH
83.5,6.6,3.05,67.7,87.7,58.8,8.3,1,1,75.7,3.03,B,1,MEDIUM
